"Title: Median Annual Household Income",,
"Timeframe: 2014",,
"Notes: See http://kff.org/other/state-indicator/median-annual-income/ for notes and sources.",,
Location,"Median Annual Household Income"
"United States",53657
Alabama,42278
Alaska,67629
Arizona,49254
Arkansas,44922
California,60487
Colorado,60940
Connecticut,70161
Delaware,57522
"District of Columbia",68277
Florida,46140
Georgia,49555
Hawaii,71223
Idaho,53438
Illinois,54916
Indiana,48060
Iowa,57810
Kansas,53444
Kentucky,42786
Louisiana,42406
Maine,51710
Maryland,76165
Massachusetts,63151
Michigan,52005
Minnesota,67244
Mississippi,35521
Missouri,56630
Montana,51102
Nebraska,56870
Nevada,49875
"New Hampshire",73397
"New Jersey",65243
"New Mexico",46686
"New York",54310
"North Carolina",46784
"North Dakota",60730
Ohio,49644
Oklahoma,47199
Oregon,58875
Pennsylvania,55173
"Rhode Island",58633
"South Carolina",44929
"South Dakota",53053
Tennessee,43716
Texas,53875
Utah,63383
Vermont,60708
Virginia,66155
Washington,59068
"West Virginia",39552
Wisconsin,58080
Wyoming,55690
